pkt_len_mean,pkt_rate,flow_duration,dst_port_entropy,payload_entropy,syn_flag_ratio,bytes_per_second,unique_dst_ips,failed_conn_ratio,avg_ttl,label
0.0,107.0,0,0.05,1.0,1.0,0.0,255,0.0,64,Lateral Movement
0.0,164.0,0,0.07,1.0,1.0,0.0,255,0.0,64,DDoS
0.0,227.0,0,0.07,1.0,1.0,0.0,255,0.0,64,DDoS
0.0,83.0,0,0.05,1.0,1.0,0.0,255,0.0,64,Brute Force
15.0,1.0,0,0.0,0.0,0.0,30.0,81,0.0,64,Normal
0.0,13.0,0,0.02,1.0,1.0,0.0,255,0.0,64,C2 Beacon
0.0,118.0,0,0.08,1.0,1.0,0.0,255,0.0,64,Port Scan
2.898550724637681,68.0,0,0.0,0.0,0.0,554.0,255,0.0,64,Normal
0.39090909090909093,109.0,0,0.0,0.0,0.0,118.0,255,0.0,64,Normal
422.0,1.0,0,0.13,0.0,0.0,1170.0,30,0.0,64,Normal
0.0,277.0,0,0.07,0.0,0.0,0.0,255,1.0,64,Brute Force
17.5,1.0,0,0.27,0.0,0.0,165.0,15,0.0,64,Normal
0.0,143.0,0,0.07,0.0,0.0,0.0,255,1.0,64,Port Scan
0.0,1.0,0,0.9,1.0,1.0,0.0,104,0.0,64,C2 Beacon
16.75,11.0,0,0.0,0.0,0.0,1516.0,28,0.0,64,Normal
0.0,282.0,0,0.05,1.0,1.0,0.0,255,0.0,64,Brute Force
15.0,1.0,0,0.0,0.0,0.0,30.0,12,0.0,64,Brute Force
6.0,1.0,0,0.05,0.0,0.0,12.0,61,0.0,64,Normal
0.0,103.0,0,0.42,0.0,0.01,0.0,255,0.91,64,C2 Beacon
24.5,13.0,0,0.0,0.0,0.0,2057.0,255,0.0,64,Normal
717.5,0.08333333333333333,11,0.02,0.0,0.0,147.66666666666666,87,0.0,64,Normal
39.5,5.0,0,0.0,0.0,0.0,12392.0,13,0.0,64,Normal
0.0,199.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Port Scan
0.0,292.0,0,0.08,1.0,1.0,0.0,255,0.0,64,DDoS
26.25,7.0,0,0.0,0.0,0.0,776.0,15,0.0,64,Normal
534.5,0.5,1,0.04,0.0,0.0,701.0,130,0.0,64,Normal
0.0,103.0,0,0.05,1.0,1.0,0.0,255,0.0,64,Lateral Movement
1922.0,1.0,0,0.06,0.0,0.0,4221.0,109,0.0,64,Normal
131.0,1.0,0,0.0,0.0,0.0,12047.0,118,0.0,64,Normal
38.5,5.0,0,0.0,0.0,0.0,18730.0,5,0.0,64,Normal
15.153846153846153,12.0,0,0.0,0.0,0.0,27425.0,14,0.0,64,Normal
17.083333333333332,11.0,0,0.0,0.0,0.0,10249.0,255,0.0,64,Normal
29.4,0.0017050298380221654,2345,0.64,0.0,0.0,0.10741687979539642,255,0.0,64,Normal
0.0,204.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Port Scan
0.5432098765432098,80.0,0,0.01,0.0,0.0,177.0,255,0.0,64,Normal
3.089820359281437,166.0,0,0.0,0.0,0.0,520.0,166,0.0,64,Normal
19.0,1.0,0,0.08,0.0,0.0,168.0,80,0.0,64,Normal
82.0,1.0,0,0.0,0.0,0.0,28546.0,19,0.0,64,Normal
0.0,101.0,0,0.07,1.0,1.0,0.0,153,0.0,64,DDoS
0.0,89.0,0,0.06,0.0,0.0,0.0,255,1.0,64,Brute Force
681.0,0.125,7,0.03,0.0,0.0,217.75,143,0.0,64,Normal
26.25,1.5,1,0.01,0.0,0.0,125.5,255,0.0,64,Normal
0.0,3.0,0,0.19,1.0,0.33,0.0,16,0.67,64,Lateral Movement
0.0,132.0,0,0.08,1.0,1.0,0.0,255,0.0,64,Port Scan
10.0,2.0,0,0.0,0.0,0.0,30.0,224,0.0,64,Normal
0.0,8.0,0,0.04,1.0,1.0,0.0,255,0.0,64,DDoS
62.0,3.0,0,0.0,0.0,0.0,4444.0,132,0.0,64,Normal
6623.5,1.0,0,0.02,0.0,0.0,14677.0,126,0.0,64,Normal
0.0,144.0,0,0.05,1.0,1.0,0.0,255,0.0,64,Port Scan
118.0,1.0,0,0.0,0.0,0.0,2108.0,171,0.0,64,Normal
0.625,71.0,0,0.0,0.0,0.0,188.0,255,0.0,64,Normal
20.72222222222222,17.0,0,0.03,0.0,0.0,373.0,255,0.0,64,Normal
72.5,0.011111111111111112,89,0.64,0.0,0.0,2.7777777777777777,255,0.0,64,Normal
0.0,219.0,0,0.09,1.0,1.0,0.0,255,0.0,64,DDoS
0.0,292.0,0,0.08,0.0,0.0,0.0,255,1.0,64,Lateral Movement
582.5,1.0,0,0.02,0.0,0.0,1490.0,166,0.0,64,Normal
0.0,193.0,0,0.06,1.0,1.0,0.0,255,0.0,64,C2 Beacon
0.0,207.0,0,0.06,1.0,1.0,0.0,255,0.0,64,DDoS
2.8333333333333335,11.0,0,0.03,0.0,0.0,68.0,106,0.0,64,Normal
39.6,4.0,0,0.0,0.0,0.0,11552.0,119,0.0,64,Normal
142.0,1.0,0,0.0,0.0,0.0,8363.0,31,0.0,64,Normal
22.0,1.0,0,0.05,0.0,0.0,154.0,39,0.0,64,Normal
110.0,2.0,0,0.0,0.0,0.0,9462.0,128,0.0,64,Normal
0.0,373.0,0,1.0,0.0,0.09,0.0,255,0.9,64,C2 Beacon
4.0,1.0,0,0.0,0.0,0.0,8.0,1,0.0,64,DDoS
111.33333333333333,2.0,0,0.0,0.0,0.0,334.0,12,0.0,64,Lateral Movement
658.5,1.0,0,0.08,0.0,0.0,1721.0,36,0.0,64,Normal
0.0,65.0,0,0.13,1.0,1.0,0.0,23,0.0,64,Lateral Movement
12.25925925925926,26.0,0,0.0,0.0,0.0,1619.0,255,0.0,64,Normal
0.0,212.0,0,0.06,1.0,1.0,0.0,255,0.0,64,C2 Beacon
15.0,1.0,0,0.0,0.0,0.0,30.0,23,0.0,64,Normal
47.0,4.0,0,0.0,0.0,0.0,562.0,61,0.0,64,Normal
0.0,127.0,0,0.06,1.0,1.0,0.0,255,0.0,64,Port Scan
15.0,6.0,0,0.01,0.0,0.0,252.0,255,0.0,64,Normal
76.8,9.0,0,0.0,0.0,0.0,768.0,15,0.0,64,Normal
0.0,278.0,0,0.07,0.0,0.0,0.0,255,1.0,64,Brute Force
354.5,0.5,1,0.07,0.0,0.0,522.0,57,0.0,64,Normal
4.0,1.0,0,0.0,0.0,0.0,8.0,2,0.0,64,Lateral Movement
0.0,208.0,0,0.07,1.0,1.0,0.0,255,0.0,64,C2 Beacon
131.0,1.0,0,0.0,0.0,0.0,7976.0,2,0.0,64,Normal
0.0,289.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Brute Force
0.0,4.0,0,0.02,1.0,1.0,0.0,204,0.0,64,Lateral Movement
0.27450980392156865,152.0,0,0.01,0.0,0.0,117.0,255,0.0,64,Normal
76.33333333333333,2.0,0,0.0,0.0,0.0,2259.0,255,0.0,64,Normal
0.34108527131782945,128.0,0,0.01,0.0,0.0,122.0,255,0.0,64,Normal
6.709677419354839,30.0,0,0.0,0.0,0.0,681.0,30,0.0,64,Normal
79.0,2.0,0,0.0,0.0,0.0,7779.0,96,0.0,64,Normal
0.0,201.0,0,0.07,1.0,1.0,0.0,255,0.0,64,DDoS
27.555555555555557,8.0,0,0.0,0.0,0.0,1014.0,255,0.0,64,Normal
246.66666666666666,2.0,0,0.09,0.0,0.0,740.0,43,0.0,64,Normal
0.0,110.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Lateral Movement
0.0,210.0,0,0.07,0.0,0.0,0.0,255,1.0,64,DDoS
23.384615384615383,12.0,0,0.0,0.0,0.0,8801.0,255,0.0,64,Normal
0.0,29.0,0,0.0,0.0,0.0,0.0,64,0.83,64,Normal
11.304347826086957,22.0,0,0.0,0.0,0.0,2350.0,235,0.0,64,Normal
2.015625,511.0,0,0.19,0.0,0.0,1032.0,255,0.0,64,DDoS
0.0,277.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Port Scan
71.66666666666667,2.0,0,0.0,0.06,0.0,664.0,99,0.0,64,Normal
5.2,14.0,0,0.01,0.0,0.0,78.0,255,0.0,64,Normal
0.10344827586206896,19.0,2,0.39,0.0,0.0,4.0,175,0.93,64,Lateral Movement
0.16236162361623616,270.0,0,0.01,0.0,0.0,119.0,255,0.0,64,Normal
32.5,9.0,0,0.0,0.0,0.0,1255.0,255,0.0,64,Normal
723.3,9.0,0,0.09,0.0,0.0,7233.0,58,0.0,64,Normal
4.0,1.0,0,0.02,0.0,0.0,230.0,250,0.0,64,Normal
62.0,2.0,0,0.0,0.0,0.0,19695.0,2,0.0,64,Normal
1.5176470588235293,339.0,0,0.0,0.0,0.0,520.0,255,0.0,64,Normal
40.142857142857146,6.0,0,0.0,0.0,0.0,698.0,6,0.0,64,Normal
463.1666666666667,11.0,0,0.08,0.0,0.0,5558.0,61,0.0,64,Normal
0.0,394.0,0,0.52,0.0,0.0,0.0,255,1.0,64,Brute Force
0.9183673469387755,48.0,0,0.0,0.0,0.0,90.0,255,0.0,64,Normal
0.0,1.0,0,0.0,0.0,0.0,0.0,62,1.0,64,Normal
213.66666666666666,2.0,0,0.16,0.0,0.0,641.0,108,0.0,64,Normal
0.0,116.0,0,0.07,0.0,0.0,0.0,255,1.0,64,Port Scan
0.0,220.0,0,0.07,1.0,1.0,0.0,255,0.0,64,C2 Beacon
25.90909090909091,10.0,0,0.0,0.0,0.0,551.0,255,0.0,64,Normal
0.0,147.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Brute Force
4.0,1.0,0,0.0,0.0,0.0,8.0,2,0.0,64,C2 Beacon
15.285714285714286,13.0,0,0.0,0.0,0.0,1175.0,13,0.0,64,Normal
0.6818181818181818,65.0,0,0.02,0.0,0.0,181.0,255,0.0,64,Normal
3.8727272727272726,54.0,0,0.0,0.0,0.0,1329.0,255,0.0,64,Normal
904.5,1.0,0,0.25,0.0,0.0,2134.0,16,0.0,64,Normal
0.0,28.0,0,0.08,1.0,1.0,0.0,255,0.0,64,Lateral Movement
0.0,99.0,0,0.07,1.0,1.0,0.0,255,0.0,64,DDoS
0.0,266.0,0,0.05,1.0,1.0,0.0,255,0.0,64,C2 Beacon
54.0,2.0,0,0.0,0.0,0.0,5099.0,18,0.0,64,Normal
0.0,143.0,0,0.06,1.0,1.0,0.0,255,0.0,64,DDoS
0.0,459.0,0,1.0,0.0,0.05,0.0,255,0.94,64,Brute Force
53.0,3.0,0,0.0,0.0,0.0,1439.0,81,0.0,64,Normal
63.333333333333336,2.0,0,0.6,0.0,0.0,190.0,255,0.0,64,Normal
0.0,104.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Brute Force
0.0,121.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Brute Force
25.11111111111111,8.0,0,0.0,0.0,0.0,1169.0,42,0.0,64,Normal
0.0,111.0,0,0.08,1.0,1.0,0.0,255,0.0,64,Brute Force
0.0,142.0,0,0.06,1.0,1.0,0.0,255,0.0,64,C2 Beacon
0.0,1.0,0,0.72,0.0,0.0,0.0,255,1.0,64,Brute Force
62.6,4.0,0,0.0,0.0,0.0,5607.0,42,0.0,64,Normal
623.5,1.0,0,0.15,0.0,0.0,1579.0,41,0.0,64,Normal
0.0,120.0,0,0.06,1.0,1.0,0.0,255,0.0,64,DDoS
55.166666666666664,5.0,0,0.0,0.0,0.0,3768.0,242,0.0,64,Normal
51.0,2.0,0,0.0,0.0,0.0,491.0,2,0.0,64,Normal
0.0,240.0,0,0.07,1.0,1.0,0.0,255,0.0,64,C2 Beacon
0.03333333333333333,29.0,0,0.81,0.0,0.0,1.0,255,0.0,64,Lateral Movement
539.5,0.5,1,0.03,0.0,0.0,706.5,138,0.0,64,Normal
11.0,2.0,0,0.01,0.0,0.0,126.0,255,0.0,64,Normal
0.0,133.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Brute Force
23.615384615384617,12.0,0,0.0,0.0,0.0,2299.0,59,0.0,64,Normal
73.0,1.0,0,0.0,0.0,0.0,537.0,3,0.0,64,Normal
35.0,9.0,0,0.0,0.0,0.0,605.0,72,0.0,64,Normal
0.0,260.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Port Scan
0.0,234.0,0,0.07,1.0,1.0,0.0,255,0.0,64,DDoS
4.0,1.0,0,0.0,0.0,0.0,8.0,4,0.0,64,C2 Beacon
0.0,142.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Port Scan
206.3181818181818,21.0,0,0.02,0.0,0.0,4539.0,171,0.0,64,Normal
0.0,259.0,0,0.07,0.0,0.0,0.0,255,1.0,64,DDoS
0.32592592592592595,134.0,0,0.01,0.0,0.0,115.0,255,0.0,64,Normal
0.0,146.0,0,0.06,1.0,1.0,0.0,255,0.0,64,Brute Force
1.0,43.0,0,0.0,0.0,0.0,171.0,255,0.0,64,Normal
108.33333333333333,2.0,0,0.0,0.0,0.0,5908.0,50,0.0,64,Normal
144.5,1.0,0,0.0,0.0,0.0,3717.0,72,0.0,64,Normal
0.0,122.0,0,0.07,0.0,0.0,0.0,255,1.0,64,Brute Force
0.0,231.0,0,0.07,1.0,1.0,0.0,255,0.0,64,C2 Beacon
55.25,3.0,0,0.0,0.0,0.0,1588.0,55,0.0,64,Normal
15.0,1.0,0,0.01,0.0,0.0,30.0,255,0.0,64,Normal
77.66666666666667,2.0,0,0.0,0.0,0.0,512.0,151,0.0,64,Normal
0.0,123.0,0,0.49,0.0,0.01,0.0,255,0.92,64,Brute Force
726.0,0.3333333333333333,2,0.03,0.0,0.0,594.0,115,0.0,64,Normal
0.0,510.0,0,1.0,1.0,0.2,0.0,255,0.79,64,Lateral Movement
5.0,1.0,0,0.07,0.0,0.0,48.0,28,0.0,64,Normal
9090.0,5.0,0,0.0,0.0,0.0,62854.0,109,0.0,64,Brute Force
0.0,1.0,0,0.0,0.0,0.0,0.0,3,1.0,64,Normal
0.0,39.0,0,0.04,1.0,1.0,0.0,255,0.0,64,Lateral Movement
63.6,4.0,0,0.0,0.0,0.0,2780.0,90,0.0,64,Normal
0.0,275.0,0,0.07,0.0,0.0,0.0,255,1.0,64,DDoS
25.083333333333332,11.0,0,0.0,0.0,0.0,611.0,11,0.0,64,Normal
368.5,0.0001417233560090703,7055,0.18,0.0,0.0,1.405187074829932,11,1.0,64,Normal
722.0,0.5,1,0.02,0.0,0.0,887.0,202,0.0,64,Normal
0.0,205.0,0,0.05,1.0,1.0,0.0,255,0.0,64,C2 Beacon
73.5,0.0005443658138268917,1836,0.56,0.0,0.0,0.1371801850843767,255,0.0,64,Normal
493.3333333333333,2.0,0,0.0,0.0,0.0,1480.0,2,0.0,63,Brute Force
261.0,0.001579778830963665,632,0.17,0.0,0.0,14.246445497630331,24,0.0,64,Normal
33.333333333333336,2.0,0,0.01,0.0,0.0,100.0,229,0.0,64,C2 Beacon
3.4705882352941178,16.0,0,0.08,0.0,0.06,59.0,129,0.0,64,Normal
4.0,1.0,0,0.0,0.0,0.0,8.0,1,0.0,64,DDoS
3.0,13.0,0,0.01,0.0,0.0,84.0,255,0.0,64,Normal
21.5,47.0,0,0.0,0.0,0.0,1032.0,255,0.0,64,Port Scan
0.21495327102803738,213.0,0,0.01,0.0,0.0,92.0,255,0.0,64,Normal
0.0,160.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Port Scan
6553.0,1.0,0,0.01,0.0,0.0,14535.0,230,0.0,64,Normal
0.0,294.0,0,0.07,1.0,1.0,0.0,255,0.0,64,C2 Beacon
4.0,1.0,0,1.0,0.0,0.0,8.0,2,0.0,64,C2 Beacon
50.666666666666664,2.0,0,0.0,0.0,0.0,5248.0,39,0.0,64,Normal
19.90909090909091,10.0,0,0.0,0.0,0.0,1576.0,13,0.0,64,Normal
0.0,1.0,0,0.0,0.0,0.0,0.0,2,1.0,64,Normal
129.66666666666666,2.0,0,0.0,0.0,0.0,1247.0,42,0.0,64,Normal
51.0,5.0,0,0.0,0.0,0.0,2000.0,255,0.0,64,Normal
62.666666666666664,5.0,0,0.0,0.0,0.0,621.0,6,0.0,64,Normal
0.0,100.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Brute Force
0.0,172.0,0,0.07,1.0,1.0,0.0,255,0.0,64,C2 Beacon
2.015625,511.0,0,0.02,0.0,0.0,1032.0,255,0.0,64,C2 Beacon
4.0,1.0,0,0.0,0.0,0.0,8.0,2,0.0,64,Lateral Movement
0.0,1.0,0,0.0,0.0,0.0,0.0,37,1.0,64,Normal
36.44444444444444,8.0,0,0.0,0.0,0.0,4753.0,255,0.0,64,Normal
0.0,109.0,0,0.05,0.0,0.0,0.0,255,1.0,64,Brute Force
9.0,1.0,0,0.0,0.0,0.0,18.0,1,0.0,64,Port Scan
0.08333333333333333,11.0,0,0.95,0.0,0.0,1.0,255,0.0,64,Lateral Movement
93.66666666666667,2.0,0,0.0,0.0,0.0,1038.0,130,0.0,64,Normal
23.6,14.0,0,0.0,0.0,0.0,1944.0,255,0.0,64,Normal
0.0,2.0,0,0.82,0.0,0.0,0.0,255,1.0,64,C2 Beacon
73.0,3.0,0,0.0,0.0,0.0,2188.0,3,0.0,64,Normal
0.0,122.0,0,0.07,0.0,0.0,0.0,255,1.0,64,C2 Beacon
402.0,0.16666666666666666,5,0.03,0.0,0.0,189.0,216,0.0,64,Normal
0.0,216.0,0,0.44,0.0,0.0,0.0,255,1.0,64,C2 Beacon
4.0,1.0,0,0.0,0.0,0.0,8.0,2,0.0,64,DDoS
38.0,7.0,0,0.0,0.0,0.0,5723.0,255,0.0,64,Normal
17.692307692307693,12.0,0,0.0,0.03,0.0,710.0,188,0.0,64,Normal
0.271523178807947,150.0,0,0.01,0.0,0.0,82.0,255,0.0,64,Normal
0.0,1.0,0,0.03,0.0,0.0,20595.0,183,0.0,64,Normal
17.53846153846154,12.0,0,0.0,0.0,0.0,530.0,255,0.0,64,Normal
1.0970464135021096,473.0,0,0.0,0.0,0.0,520.0,123,0.0,64,Port Scan
0.0,1.0,0,0.0,0.0,0.0,0.0,28,1.0,64,Normal
73.5,0.0018148820326678765,550,0.65,0.0,0.0,0.4573502722323049,255,0.0,64,Normal
1.1818181818181819,439.0,0,0.0,0.0,0.0,520.0,232,0.0,64,Port Scan
9.37037037037037,26.0,0,0.0,0.0,0.0,1192.0,255,0.0,64,Normal
372.0,0.00012510947078693858,7992,0.05,0.0,0.0,1.2752408357312648,40,1.0,64,Normal
26.0,8.0,0,0.0,0.0,0.0,488.0,8,0.0,64,Normal
0.0,237.0,0,0.08,1.0,1.0,0.0,255,0.0,64,Lateral Movement
15.0,12.0,0,0.0,0.0,0.0,41170.0,26,0.0,64,Normal
0.0,1.0,0,0.0,0.0,0.0,0.0,36,1.0,64,Normal
78.0,3.0,0,0.0,0.0,0.0,1586.0,168,0.0,64,Normal
28.5,0.5,1,0.17,0.0,0.0,113.5,23,0.0,64,Normal
0.0,145.0,0,0.06,1.0,1.0,0.0,255,0.0,64,DDoS
10.565217391304348,22.0,0,0.0,0.0,0.0,1139.0,255,0.0,64,Normal
8.125984251968504,126.0,0,0.02,0.0,0.0,1032.0,255,0.0,64,DDoS
0.0,100.0,0,0.09,1.0,1.0,0.0,255,0.0,64,Brute Force
109.0,1.0,0,0.0,0.0,0.0,6677.0,1,0.0,64,Normal
0.0,509.0,0,1.0,0.0,0.16,0.0,255,0.84,64,DDoS
4.0,1.0,0,0.0,0.0,0.0,8.0,1,0.0,64,C2 Beacon
54.0,3.0,0,0.0,0.0,0.0,25294.0,9,0.0,64,Normal
0.0,4.0,0,0.02,1.0,1.0,0.0,246,0.0,64,Brute Force
0.01818181818181818,54.0,0,0.06,0.0,0.0,1.0,255,0.0,64,Port Scan
0.0,287.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Lateral Movement
54.5,5.0,0,0.0,0.2,0.2,2893.0,22,0.0,64,Normal
0.0,139.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Brute Force
25.454545454545453,10.0,0,0.0,0.0,0.0,4325.0,10,0.0,64,Normal
0.0,72.0,0,0.06,1.0,1.0,0.0,255,0.0,64,Lateral Movement
67.5,3.0,0,0.0,0.0,0.0,10603.0,157,0.0,64,Normal
0.0,104.0,0,0.06,1.0,1.0,0.0,255,0.0,64,Port Scan
0.22797927461139897,192.0,0,0.01,0.0,0.0,179.0,255,0.0,64,Normal
0.0,1.0,0,0.0,0.0,0.0,0.0,33,1.0,64,Normal
0.0,123.0,0,0.07,1.0,1.0,0.0,255,0.0,64,C2 Beacon
107.0,2.0,0,0.0,0.0,0.0,13554.0,111,0.0,64,Normal
395.0,1.0,0,0.02,0.0,0.0,1126.0,190,0.0,64,Normal
2566938.0,0.000197667523225934,5058,0.0,0.0,0.0,1014.800553469065,4,0.0,64,Port Scan
21.363636363636363,10.0,0,0.0,0.0,0.0,2848.0,255,0.0,64,Normal
38.111111111111114,8.0,0,0.0,0.0,0.0,1532.0,255,0.0,64,Normal
90.0,1.0,0,0.0,0.0,0.0,13356.0,109,0.0,64,Normal
45.25,3.0,0,0.0,0.4,0.33,10514.0,116,0.0,64,Normal
0.0,120.0,0,0.07,1.0,1.0,0.0,255,0.0,64,DDoS
6.9,29.0,0,0.0,0.0,0.0,9694.0,199,0.0,64,Normal
4.0,1.0,0,0.0,0.0,0.0,8.0,2,0.0,64,Port Scan
0.0,135.0,0,0.06,1.0,1.0,0.0,255,0.0,64,C2 Beacon
0.0,1.0,0,0.0,0.0,0.0,0.0,51,1.0,64,Normal
26.25,3.0,0,0.01,0.0,0.0,252.0,255,0.0,64,Normal
0.09090909090909091,10.0,0,0.17,0.0,0.0,1.0,255,0.0,64,Brute Force
377.5,1.0,0,0.01,0.0,0.0,1082.0,255,0.0,64,Normal
9.0,1.0,0,0.0,0.0,0.0,18.0,3,0.0,64,DDoS
0.0,271.0,0,0.07,0.0,0.0,0.0,255,1.0,64,Lateral Movement
4.0,1.0,0,0.0,0.0,0.0,8.0,2,0.0,64,C2 Beacon
0.0,24.0,0,0.09,1.0,1.0,0.0,255,0.0,64,DDoS
0.0,122.0,0,0.06,1.0,0.99,0.0,255,0.0,64,Port Scan
1790.5555555555557,8.0,0,0.07,0.0,0.0,16115.0,43,0.0,64,Normal
0.0,103.0,0,0.06,1.0,1.0,0.0,255,0.0,64,Lateral Movement
79.5,1.0,0,0.0,0.0,0.0,20381.0,5,0.0,64,Normal
0.0,1.0,0,0.15,0.0,0.0,0.0,86,1.0,64,Normal
0.0,101.0,0,0.07,1.0,1.0,0.0,255,0.0,64,Brute Force
12.68,24.0,0,0.0,0.0,0.0,7701.0,255,0.0,64,Normal
8.884615384615385,25.0,0,0.0,0.0,0.0,515.0,133,0.0,64,Normal
35.5,1.0,0,0.02,0.0,0.0,71.0,255,0.0,64,Normal
0.0,12.0,0,0.04,1.0,1.0,0.0,255,0.0,64,DDoS
357.0,1.0,0,0.05,0.0,0.0,1197.0,64,0.0,64,Normal
0.0,286.0,0,0.06,1.0,1.0,0.0,255,0.0,64,DDoS
0.19469026548672566,225.0,0,0.01,0.0,0.0,154.0,255,0.0,64,Normal
73.0,0.00018372221201543268,5442,0.64,0.0,0.0,0.0461142752158736,255,0.0,64,Normal
16.166666666666668,17.0,0,0.0,0.0,0.0,2987.0,255,0.0,64,Normal
410.5,0.5,1,0.03,0.0,0.0,594.5,173,0.0,64,Normal
45.5,3.0,0,0.01,0.0,0.0,182.0,255,0.0,64,Normal
0.0,10.0,0,0.0,0.0,0.0,0.0,163,0.6,64,Normal
0.0,234.0,0,0.07,1.0,1.0,0.0,255,0.0,64,C2 Beacon
7.666666666666667,0.1724137931034483,28,0.02,0.0,0.0,3.1724137931034484,116,0.0,64,Normal
0.0,220.0,0,0.07,0.0,0.0,0.0,255,1.0,64,C2 Beacon
0.0,267.0,0,0.08,1.0,1.0,0.0,255,0.0,64,Port Scan
0.0,74.0,0,0.02,1.0,1.0,0.0,255,0.0,64,C2 Beacon
4.0,1.0,0,0.0,0.0,0.0,8.0,1,0.0,64,Brute Force
6060.0,8.0,0,0.0,0.0,0.0,62854.0,255,0.0,64,Lateral Movement
151.0,1.0,0,0.0,0.0,0.0,570.0,35,0.0,64,Normal
0.0,242.0,0,0.08,1.0,1.0,0.0,255,0.0,64,Port Scan
8.666666666666666,8.0,0,0.01,0.0,0.0,78.0,255,0.0,64,Normal
41.25,7.0,0,0.0,0.0,0.0,2170.0,68,0.0,64,Normal
9.76,24.0,0,0.0,0.0,0.0,1332.0,255,0.0,64,Normal
0.0,24.0,0,0.02,1.0,1.0,0.0,255,0.0,64,C2 Beacon
29.9,9.0,0,0.0,0.0,0.0,676.0,36,0.0,64,Normal
0.3333333333333333,83.0,0,0.29,0.0,0.0,28.0,255,0.0,61,Brute Force
0.0,104.0,0,0.1,1.0,1.0,0.0,50,0.0,64,C2 Beacon
0.0,1.0,0,1.0,0.0,0.0,0.0,41,1.0,64,C2 Beacon
